prompt_length,gpu_in_flight,cpu_in_flight,optimal_node
77,4,1,0
23,6,2,0
78,6,0,0
38,2,1,0
110,1,1,0
123,2,1,1
117,0,6,0
147,0,2,0
49,0,5,0
148,2,1,0
250,8,4,1
99,0,0,0
36,6,1,0
28,5,0,0
123,0,3,0
249,0,1,0
217,1,0,0
63,3,4,0
62,5,1,0
51,2,0,0
58,1,1,0
44,5,0,0
29,8,3,0
256,0,4,0
277,1,0,0
69,6,0,0
33,0,0,0
51,4,1,0
135,2,0,0
56,2,0,0
132,0,1,0
60,5,0,0
57,3,1,0
150,0,0,0
83,2,0,0
61,2,5,0
26,8,4,0
259,3,1,0
73,7,2,0
63,7,4,0
98,0,4,0
26,4,0,0
61,4,0,0
39,4,2,0
205,0,1,0
78,2,4,0
190,3,1,0
141,0,2,0
289,7,1,0
174,9,6,1
43,6,0,0
76,4,1,0
297,0,1,0
233,4,1,0
258,6,5,1
67,3,2,0
154,1,0,0
47,3,0,0
22,6,1,0
66,1,2,0
51,3,2,0
193,1,3,0
24,0,6,0
169,0,0,0
62,4,0,0
201,3,1,0
65,0,0,1
71,4,1,0
48,0,1,0
219,0,1,0
71,4,0,0
85,3,6,0
58,2,1,0
77,7,0,0
21,0,2,0
70,0,3,0
61,3,4,0
142,0,3,0
170,1,3,0
268,2,3,0
74,2,3,0
165,0,5,0
77,9,1,1
37,1,2,0
253,0,1,0
46,7,1,0
65,3,0,0
96,6,2,0
79,1,1,0
296,5,1,0
202,2,5,0
20,2,0,0
58,4,1,0
37,6,0,0
78,0,4,0
96,3,6,0
233,2,2,0
89,1,6,0
57,1,0,0
55,0,7,0
197,1,3,0
74,6,6,0
172,8,4,0
42,5,8,0
42,9,4,1
44,1,0,0
299,15,1,1
266,1,1,0
213,1,2,0
26,4,1,0
71,3,1,0
28,0,3,0
126,0,0,0
43,2,5,0
67,2,2,0
112,8,1,1
78,2,0,0
24,0,0,0
58,0,0,0
60,0,0,1
36,0,0,0
32,1,1,0
67,3,0,0
93,1,3,0
32,1,1,0
47,4,0,0
276,2,1,0
51,1,0,0
39,1,0,0
210,4,3,0
52,3,2,0
37,1,2,0
79,3,0,0
34,0,0,0
73,0,1,0
104,2,6,0
136,0,2,0
54,1,3,0
45,2,0,0
143,3,0,0
23,1,0,0
150,5,0,0
211,2,1,0
262,9,0,1
119,0,2,0
110,5,0,0
68,4,1,0
166,5,1,0
38,4,1,0
164,3,5,0
76,3,0,0
216,3,4,0
38,1,2,1
65,6,0,0
70,0,1,0
33,4,2,0
199,1,0,0
208,2,1,0
55,2,2,1
285,3,2,0
113,3,2,0
285,8,1,1
264,0,5,0
55,2,0,0
81,1,1,0
156,1,2,0
47,0,0,0
74,1,1,0
59,0,6,0
25,15,1,1
64,1,4,0
22,2,1,0
179,2,1,0
29,0,4,0
36,3,1,1
62,4,0,0
60,0,0,0
59,1,0,0
268,6,1,1
37,7,0,0
21,0,1,0
259,1,0,0
36,3,1,0
37,8,3,0
187,7,3,1
36,3,2,0
70,12,1,1
21,7,0,0
53,4,3,0
28,7,4,0
226,0,5,0
51,0,0,0
56,1,1,0
63,1,1,0
286,4,0,1
55,0,1,0
66,0,0,0
61,2,0,0
232,1,1,0
75,0,6,0
52,6,2,0
232,6,0,1
79,8,0,0
119,3,5,1
145,8,7,1
71,6,0,0
55,1,0,0
154,4,0,0
67,1,2,0
131,0,4,1
196,8,3,1
66,2,1,0
296,5,1,0
132,0,1,0
34,0,0,0
43,4,0,0
99,2,4,0
56,0,9,0
222,3,1,0
33,0,3,0
78,7,5,0
43,5,2,0
129,1,1,0
25,6,0,0
290,6,3,1
25,2,1,0
189,0,0,0
71,2,1,0
156,4,1,0
255,4,4,0
264,4,2,0
114,7,4,0
108,1,2,0
263,2,0,0
295,3,0,0
66,0,3,0
155,3,5,0
231,0,0,0
54,1,2,1
294,9,2,1
85,0,0,0
230,2,0,0
47,0,3,0
24,4,2,0
113,2,6,0
167,1,8,0
130,1,0,0
71,2,6,0
250,5,4,0
108,0,5,0
185,0,0,0
32,2,0,0
67,1,1,1
43,2,2,0
269,5,0,0
34,12,0,1
234,3,0,0
25,1,0,0
27,3,2,0
30,0,2,0
76,0,1,0
237,5,0,0
73,3,3,0
195,4,0,0
29,6,0,0
30,5,2,0
63,1,10,0
123,4,0,1
47,6,2,0
40,1,8,1
207,2,2,0
278,2,0,0
126,3,2,0
62,7,0,0
119,6,1,1
177,2,1,0
43,9,0,1
66,0,6,0
24,0,1,0
174,1,2,0
30,0,2,0
70,5,1,0
26,1,0,0
88,0,1,0
50,0,0,0
81,9,2,1
50,2,2,0
38,4,0,0
100,4,1,0
61,6,6,0
57,6,1,1
231,4,0,0
59,0,2,0
78,2,4,0
64,6,1,0
257,5,3,0
106,3,0,0
43,4,1,0
42,1,0,0
216,2,1,0
48,0,0,0
54,3,2,0
237,9,0,1
58,7,0,0
76,1,0,0
37,1,3,0
56,4,0,0
30,4,0,0
103,3,0,0
68,3,0,0
212,5,4,0
56,2,3,0
34,5,0,0
60,0,2,0
30,4,4,0
21,3,2,0
43,3,1,0
61,2,1,0
298,0,0,0
36,0,0,0
39,1,1,0
24,5,0,0
223,3,0,0
298,4,1,0
23,3,6,0
124,3,0,0
156,4,3,0
43,0,9,0
70,2,2,0
108,6,3,1
38,1,1,0
201,1,1,0
193,7,1,1
125,8,0,1
72,6,3,0
24,2,0,0
78,3,3,0
283,2,2,0
50,2,0,0
21,0,6,0
175,1,1,0
58,1,2,0
23,5,1,0
92,4,8,0
27,1,0,0
50,15,3,1
57,2,1,0
178,0,1,0
241,5,0,0
21,1,3,0
32,0,0,0
291,2,0,0
70,0,1,0
64,2,1,0
67,7,6,0
61,2,0,0
74,2,2,0
220,3,0,0
64,2,2,1
62,0,0,1
242,1,0,0
225,0,0,0
248,1,0,0
144,5,2,0
27,3,3,0
22,9,3,1
212,3,2,0
108,1,5,0
45,2,2,0
27,0,4,0
68,6,4,0
65,2,4,0
224,0,1,0
89,0,0,0
126,2,4,0
55,2,0,0
272,3,3,0
20,1,2,0
44,5,0,0
215,0,1,0
20,5,0,0
77,1,0,0
72,15,1,1
274,3,1,0
80,3,1,0
55,2,2,0
53,3,2,0
139,6,1,1
40,5,2,0
46,0,0,0
33,3,2,0
221,2,2,0
44,6,1,0
31,1,0,1
69,1,1,0
137,2,4,0
68,2,1,0
63,2,1,0
114,3,0,0
290,0,0,0
34,7,0,0
178,5,0,0
23,7,0,0
40,7,0,0
203,8,0,1
63,12,0,1
53,2,7,0
26,0,0,0
203,2,0,0
94,4,1,0
49,0,6,0
181,2,2,0
50,5,1,0
124,1,0,0
194,1,4,0
132,2,8,0
23,2,5,0
26,4,3,0
292,1,1,0
207,3,3,0
197,0,2,0
71,7,0,0
32,0,4,0
46,3,0,0
191,9,1,1
219,0,4,0
20,3,1,0
97,4,0,0
198,4,0,0
181,1,1,0
30,4,3,0
28,1,1,0
216,1,4,0
219,0,2,0
95,0,4,0
141,3,2,0
32,0,0,0
271,5,3,0
74,4,1,0
47,6,1,0
104,2,0,0
141,6,0,1
257,0,6,0
69,1,4,0
198,0,0,1
38,3,0,0
90,7,4,0
73,0,0,0
87,3,10,0
23,6,1,0
74,4,3,0
51,2,0,0
212,7,1,1
210,4,0,0
43,2,2,0
243,2,2,0
41,2,0,0
78,1,1,0
141,1,1,1
33,0,0,0
205,2,0,0
25,3,0,0
72,2,2,0
36,2,1,0
237,3,0,0
260,0,2,0
23,3,2,0
47,1,0,0
95,0,1,0
229,1,1,1
280,3,4,0
74,0,1,0
45,1,1,0
27,3,0,0
266,4,1,0
38,5,1,0
268,7,1,1
42,3,2,0
30,2,0,0
29,0,2,0
24,2,0,0
160,1,8,0
110,2,0,0
164,0,0,0
21,5,1,0
105,9,0,1
261,12,0,1
43,1,1,0
52,5,3,0
35,0,0,0
77,3,0,0
46,3,1,0
273,3,1,0
43,0,1,0
77,7,2,0
108,5,0,0
72,8,0,0
186,6,1,1
32,5,1,0
54,6,8,0
248,3,6,0
71,2,4,0
73,2,1,0
84,2,2,0
109,1,1,0
32,9,0,1
262,1,0,0
242,0,3,0
248,6,2,1
24,2,1,0
26,5,6,0
194,1,0,0
235,0,0,0
33,1,3,0
74,1,1,0
295,3,1,0
73,2,1,0
95,4,0,0
256,3,1,0
139,2,0,0
91,4,0,1
22,1,2,0
80,1,2,0
41,1,4,0
276,2,5,0
99,4,1,0
234,0,0,0
292,5,6,0
26,5,2,1
77,2,1,0
42,1,0,0
69,6,0,0
72,1,2,0
28,4,2,0
166,4,0,0
42,0,0,0
70,0,1,0
27,2,1,0
55,0,1,0
60,1,3,0
78,0,0,0
106,1,0,0
193,1,1,1
58,10,4,0
252,5,1,0
23,1,0,0
184,0,6,0
298,3,6,0
33,0,0,0
207,0,3,0
60,1,0,0
48,7,2,0
20,3,1,0
196,1,1,0
36,5,1,0
22,0,1,0
70,12,3,1
77,0,6,0
295,3,0,0
24,3,8,0
279,8,6,1
246,0,1,0
58,4,0,0
189,0,0,0
130,3,0,0
240,0,1,1
59,0,0,0
298,0,3,0
65,7,6,0
67,1,1,0
132,0,5,0
33,0,0,0
142,9,1,1
51,5,0,0
288,7,1,1
49,1,1,0
71,1,0,0
191,2,3,0
61,5,2,0
198,1,1,1
65,0,1,0
78,1,0,0
20,4,6,0
243,6,1,1
62,5,0,0
257,12,3,1
59,0,1,0
66,3,6,1
56,1,2,0
50,2,1,0
233,4,1,0
240,6,0,1
40,1,7,0
239,3,6,0
29,5,2,0
70,0,2,0
34,4,3,0
91,2,2,0
68,3,1,0
114,1,0,0
255,1,2,0
279,0,2,0
37,1,1,0
63,2,0,0
45,4,0,0
76,3,2,0
45,5,0,0
45,12,0,1
78,0,1,0
173,1,1,0
48,1,0,0
212,0,0,0
25,3,2,0
20,9,0,1
214,1,0,0
288,0,0,0
274,1,1,0
169,0,1,0
77,2,3,0
294,0,0,0
64,7,1,0
63,0,1,0
133,4,0,0
242,0,0,0
34,0,1,0
228,0,6,0
261,8,1,1
243,4,1,0
75,3,1,0
73,4,3,0
134,4,1,0
285,0,3,0
21,1,1,0
75,0,3,0
137,0,0,0
59,7,3,0
37,1,0,0
41,1,3,0
74,9,0,1
76,6,0,0
50,0,4,0
268,4,1,0
60,0,2,0
29,0,2,0
29,0,0,0
133,1,0,0
56,1,0,0
33,9,2,1
45,3,2,0
50,2,4,0
26,3,0,0
61,1,1,0
50,2,0,0
48,3,2,0
20,4,1,0
265,2,0,0
31,6,4,0
43,5,5,0
72,2,1,0
58,0,1,0
79,3,0,0
42,0,1,0
224,4,0,0
186,0,3,0
23,5,1,0
256,2,0,0
243,0,0,0
279,5,1,0
207,3,0,0
139,1,0,0
45,7,1,0
61,2,3,0
139,4,0,0
151,1,0,0
55,1,2,0
247,0,0,0
45,0,0,1
133,3,0,0
73,7,0,0
261,6,0,1
25,15,0,1
268,15,0,0
27,0,1,0
38,4,0,1
217,5,0,0
203,3,4,0
79,5,1,0
33,3,5,0
51,1,10,0
256,4,1,0
60,4,1,0
50,4,2,0
29,3,1,0
180,4,3,0
66,3,2,0
291,3,1,0
54,1,5,0
41,0,0,0
56,7,4,0
71,7,0,0
68,15,0,1
294,2,4,0
24,10,3,1
98,2,0,0
48,1,0,0
78,5,6,0
67,1,0,0
35,1,2,0
68,0,0,0
24,2,0,0
110,3,1,0
140,2,0,0
69,0,1,0
206,4,3,0
52,6,8,0
31,2,2,0
70,1,4,0
47,5,0,0
118,3,1,0
130,3,1,0
54,0,0,0
69,1,5,0
28,1,3,0
53,6,3,0
128,1,4,0
20,6,3,0
113,2,1,0
75,0,0,0
74,2,1,0
49,2,1,0
167,6,0,0
40,2,2,0
50,0,0,0
70,0,0,0
22,4,0,0
30,1,3,0
107,5,0,0
75,2,0,1
195,5,0,0
77,4,5,0
229,1,4,0
242,1,0,0
62,4,2,0
40,0,1,0
70,8,0,0
93,0,0,0
78,2,1,0
59,5,3,0
259,5,0,1
59,2,1,0
280,1,2,0
31,1,1,0
64,3,0,0
55,2,0,0
74,1,2,0
260,3,2,0
39,0,3,0
54,2,0,0
24,3,2,1
197,0,0,0
76,5,8,0
174,1,0,0
180,1,2,0
41,6,3,0
41,5,0,0
48,2,4,0
68,6,1,0
75,0,5,0
21,2,1,0
293,3,2,0
26,3,5,0
41,3,1,0
214,1,0,0
44,4,2,0
30,0,3,1
30,6,1,0
63,9,0,1
281,3,2,0
196,4,1,0
112,6,1,1
42,7,0,0
50,1,1,0
36,0,7,0
63,1,2,0
168,5,0,0
56,4,2,0
119,3,0,0
45,0,0,0
277,0,1,0
59,3,0,0
70,10,0,1
283,2,0,1
43,0,1,1
147,0,1,0
